Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.1-10.42.0.21-53-25360-17,10.42.0.21,25360,10.42.0.1,53,17,10/03/2025 20:30,32695,0,2,0,174,0,0,0,0,135,39,87,67.88225099,5321.914666,61.17143294,32695,0,32695,32695,0,0,0,0,0,32695,32695,0,32695,32695,0,0,0,0,0,16,0,61.17143294,39,135,71,55.42562584,3072,0,0,0,0,0,0,0,0,0,106.5,0,87,0,0,0,0,0,0,0,0,2,174,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-49258-443-6,10.42.0.105,49258,99.80.98.228,443,6,10/03/2025 20:31,146,1,1,0,0,0,0,0,0,0,0,0,0,0,13698.63014,146,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6849.315068,6849.315068,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-58455-17,10.42.0.21,9999,10.42.0.105,58455,17,10/03/2025 20:41,1993117,2,1,2018,1009,1009,1009,1009,0,1009,1009,1009,0,1518.726698,1.505180077,996558.5,7264.107963,1001695,991422,1001695,1001695,0,1001695,1001695,0,0,0,0,0,0,0,0,0,16,8,1.003453385,0.501726692,1009,1009,1009,0,0,0,0,0,0,0,0,0,0,0,1345.333333,1009,1009,0,0,0,0,0,0,2,2018,1,1009,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-45066-443-6,10.42.0.105,45066,99.80.98.228,443,6,10/03/2025 20:31,127,1,1,0,0,0,0,0,0,0,0,0,0,0,15748.0315,127,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7874.015748,7874.015748,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-49298-443-6,10.42.0.105,49298,99.80.98.228,443,6,10/03/2025 20:31,115,1,1,0,0,0,0,0,0,0,0,0,0,0,17391.30435,115,0,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8695.652174,8695.652174,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.1-10.42.0.105-53-47620-17,10.42.0.105,47620,10.42.0.1,53,17,10/03/2025 20:28,300,0,2,0,160,0,0,0,0,128,32,80,67.88225099,533333.3333,6666.666667,300,0,300,300,0,0,0,0,0,300,300,0,300,300,0,0,0,0,0,16,0,6666.666667,32,128,64,55.42562584,3072,0,0,0,0,0,0,0,0,0,96,0,80,0,0,0,0,0,0,0,0,2,160,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-58992-443-6,10.42.0.105,58992,99.80.98.228,443,6,10/03/2025 20:37,162,1,1,0,0,0,0,0,0,0,0,0,0,0,12345.67901,162,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6172.839506,6172.839506,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-13.216.50.250-59858-443-6,10.42.0.105,59858,13.216.50.250,443,6,10/03/2025 20:38,36873,1,1,0,0,0,0,0,0,0,0,0,0,0,54.24022998,36873,0,36873,36873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12011499,27.12011499,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,87,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-55176-17,10.42.0.21,9999,10.42.0.105,55176,17,10/03/2025 20:39,2002500,2,1,2018,1009,1009,1009,1009,0,1009,1009,1009,0,1511.610487,1.498127341,1001250,20442.45704,1015705,986795,986795,986795,0,986795,986795,0,0,0,0,0,0,0,0,0,16,8,0.998751561,0.49937578,1009,1009,1009,0,0,0,0,0,0,0,0,0,0,0,1345.333333,1009,1009,0,0,0,0,0,0,2,2018,1,1009,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-51476-443-6,99.80.98.228,443,10.42.0.105,51476,6,10/03/2025 20:36,8365,0,4,0,0,0,0,0,0,0,0,0,0,0,478.182905,2788.333333,4566.697859,8061,89,0,0,0,0,0,8365,2788.333333,4566.697859,8061,89,0,0,0,0,0,92,0,478.182905,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
